"id","code","category","name","unidade_tributacao","descricao_unidade"
"00000000","00000000","OUTROS","00000000 - PRODUTO NAO ESPECIFICADO NA LISTA DE NCM",,
"01012100","01012100","ANIMAIS VIVOS","01012100 - CAVALOS REPRODUTORES DE RACA PURA","UN","Unidade"
"01012900","01012900","ANIMAIS VIVOS","01012900 - CAVALOS VIVOS EXCETO REPRODUTORES DE RACA PURA","UN","Unidade"
"01013000","01013000","ANIMAIS VIVOS","01013000 - ASININOS","UN","Unidade"
"01019000","01019000","ANIMAIS VIVOS","01019000 - OUTROS ASININOS E MUARES VIVOS","UN","Unidade"
"01022110","01022110","ANIMAIS VIVOS","01022110 - BOVINOS REPRODUTORES DE RACA PURA; PRENHE OU COM CRIA AO PE","UN","Unidade"
"01022190","01022190","ANIMAIS VIVOS","01022190 - OUTROS BOVINOS REPRODUTORES,DE RACA PURA","UN","Unidade"
"01022911","01022911","ANIMAIS VIVOS","01022911 - OUTROS BOVINOS PARA REPRODUÇÃO, PRENHE OU COM CRIA AO PE","UN","Unidade"
"01022919","01022919","ANIMAIS VIVOS","01022919 - OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO","UN","Unidade"
"01022990","01022990","ANIMAIS VIVOS","01022990 - OUTROS BOVINOS DOMÉSTICOS","UN","Unidade"
"01023110","01023110","ANIMAIS VIVOS","01023110 - BÚFALOS REPRODUTORES,DE RACA PURA, PRENHE OU COM CRIA AO PE","UN","Unidade"
"01023190","01023190","ANIMAIS VIVOS","01023190 - OUTROS BÚFALOS REPRODUTORES,DE RACA PURA","UN","Unidade"
"01023911","01023911","ANIMAIS VIVOS","01023911 - OUTROS BÚFALOS PARA REPRODUÇÃO, PRENHE OU COM CRIA AO PE","UN","Unidade"
"01023919","01023919","ANIMAIS VIVOS","01023919 - OUTROS BÚFALOS PARA REPRODUÇÃO","UN","Unidade"
"01023990","01023990","ANIMAIS VIVOS","01023990 - OUTROS BÚFALOS","UN","Unidade"
"01029000","01029000","ANIMAIS VIVOS","01029000 - OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA","UN","Unidade"
"01031000","01031000","ANIMAIS VIVOS","01031000 - SUINOS  REPRODUTORES DE RAÇA PURA","UN","Unidade"
"01039100","01039100","ANIMAIS VIVOS","01039100 - OUTROS SUINOS,VIVOS,DE PESO INFERIOR A 50KG","UN","Unidade"
"01039200","01039200","ANIMAIS VIVOS","01039200 - OUTROS SUINOS,VIVOS,DE PESO IGUAL OU SUPERIOR A 50KG","UN","Unidade"
"01041011","01041011","ANIMAIS VIVOS","01041011 - OVINOS REPRODUTORES,DE RACA PURA,PRENHE OU C/CRIA AO PE","UN","Unidade"
"01041019","01041019","ANIMAIS VIVOS","01041019 - OUTROS OVINOS,REPRODUTORES,DE RACA PURA","UN","Unidade"
"01041090","01041090","ANIMAIS VIVOS","01041090 - OUTROS OVINOS,VIVOS","UN","Unidade"
"01042010","01042010","ANIMAIS VIVOS","01042010 - CAPRINOS REPRODUTORES,DE RACA PURA","UN","Unidade"
"01042090","01042090","ANIMAIS VIVOS","01042090 - OUTROS CAPRINOS,VIVOS","UN","Unidade"
"01051110","01051110","ANIMAIS VIVOS","01051110 - GALOS E GALINHAS,P<=185G,DE LINHA PURA/HIBRIDA, P/REPROD","UN","Unidade"
"01051190","01051190","ANIMAIS VIVOS","01051190 - OUTROS GALOS E GALINHAS,VIVOS,DE PESO N/SUPERIOR A 185G","UN","Unidade"
"01051200","01051200","ANIMAIS VIVOS","01051200 - PERUAS E PERUS,VIVOS,DE PESO NAO SUPERIOR A 185G","UN","Unidade"
"01051300","01051300","ANIMAIS VIVOS","01051300 - PATOS VIVOS,DE PESO<=185G","UN","Unidade"
"01051400","01051400","ANIMAIS VIVOS","01051400 - GANSOS, VIVOS,DE PESO<=185G","UN","Unidade"
"01051500","01051500","ANIMAIS VIVOS","01051500 - GALINHAS DANGOLA (PINTADAS),VIVOS,DE PESO<=185G","UN","Unidade"
"01059400","01059400","ANIMAIS VIVOS","01059400 - OUTROS GALOS E GALINHAS,VIVOS DE PESO>185G","UN","Unidade"
