"id","siafi_code"
br_base.city_1200013,0643
br_base.city_1200054,0157
br_base.city_1200104,0105
br_base.city_1200138,0645
br_base.city_1200179,0647
br_base.city_1200203,0107
br_base.city_1200252,0651
br_base.city_1200302,0113
br_base.city_1200328,0653
br_base.city_1200336,0109
br_base.city_1200344,0155
br_base.city_1200385,0151
br_base.city_1200807,0649
br_base.city_1200393,0657
br_base.city_1200401,0139
br_base.city_1200427,0659
br_base.city_1200435,0661
br_base.city_1200500,0145
br_base.city_1200450,0153
br_base.city_1200609,0147
br_base.city_1200708,0149
br_base.city_2700102,2701
br_base.city_2700201,2703
br_base.city_2700300,2705
br_base.city_2700409,2707
br_base.city_2700508,2709
br_base.city_2700607,2711
br_base.city_2700706,2713
br_base.city_2700805,2715
br_base.city_2700904,2717
br_base.city_2701001,2719
br_base.city_2701100,2721
br_base.city_2701209,2723
br_base.city_2701308,2725
br_base.city_2701357,0560
br_base.city_2701407,2727
br_base.city_2701506,2729
br_base.city_2701605,2731
br_base.city_2701704,2733
br_base.city_2701803,2735
br_base.city_2701902,2737
br_base.city_2702009,2739
br_base.city_2702108,2741
br_base.city_2702207,2743
br_base.city_2702306,2745
br_base.city_2702355,2889
br_base.city_2702405,2747
br_base.city_2702504,2749
br_base.city_2702553,2643
br_base.city_2702603,2751
br_base.city_2702702,2753
br_base.city_2702801,2755
br_base.city_2702900,2757
br_base.city_2703007,2759
br_base.city_2703106,2761
br_base.city_2703205,2763
br_base.city_2703304,2765
br_base.city_2703403,2767
br_base.city_2703502,2769
br_base.city_2703601,2771
br_base.city_2703700,2773
br_base.city_2703759,0562
br_base.city_2703809,2775
br_base.city_2703908,2777
br_base.city_2704005,2779
br_base.city_2704104,2781
br_base.city_2704203,2783
br_base.city_2704302,2785
br_base.city_2704401,2787
br_base.city_2704906,2797
br_base.city_2704500,2789
br_base.city_2704609,2791
br_base.city_2704708,2793
br_base.city_2704807,2795
br_base.city_2705002,2799
br_base.city_2705101,2801
br_base.city_2705200,2803
br_base.city_2705309,2805
br_base.city_2705408,2807
br_base.city_2705507,2809
br_base.city_2705606,2811
br_base.city_2705705,2813
br_base.city_2705804,2815
br_base.city_2705903,2817
br_base.city_2706000,2819
br_base.city_2706109,2821
br_base.city_2706208,2823
br_base.city_2706307,2825
br_base.city_2706406,2827
br_base.city_2706422,2645
br_base.city_2706448,2641
br_base.city_2706505,2829
br_base.city_2706604,2831
br_base.city_2706703,2833
br_base.city_2706802,2835
br_base.city_2706901,2837
br_base.city_2707008,2839
br_base.city_2707107,2841
br_base.city_2707206,2843
br_base.city_2707305,2845
br_base.city_2707404,2847
br_base.city_2707503,2849
br_base.city_2707602,2851
br_base.city_2707701,2853
br_base.city_2707800,2855
br_base.city_2707909,2857
br_base.city_2708006,2859
